Current Satellite Time,q_1 of Estimated Quaternion,q_2 of Estimated Quaternion,q_3 of Estimated Quaternion,q_4 of Estimated Quaternion,X axis of Estimated Body Rate,Y axis of Estimated Body Rate,Z axis of Estimated Body Rate,X axis of Estimated Position,Y axis of Estimated Position,Z axis of Estimated Position,X axis of Estimated Velocity,Y axis of Estimated Velocity,Z axis of Estimated Velocity
2022-08-03 5:04,0.301777832,-0.74816808,0.552341976,-0.209983348,-0.0002882,0.000524678,-0.030649895,-4034.278,5553.30127,-1074.64587,-6.16312551,-4.367653,0.590164661
2022-08-03 5:04,0.307651492,-0.745726076,0.554034775,-0.205642036,-0.000144461,-0.000141034,-0.029440582,-4216.97852,5419.322,-1056.36707,-6.015828,-4.563541,0.6283153
2022-08-03 5:05,0.313425647,-0.743261968,0.555683744,-0.201349415,0.000910318,-0.000361314,-0.029114956,-4395.163,5279.538,-1036.95361,-5.86207962,-4.754553,0.665794134
2022-08-03 5:05,0.319124424,-0.740798468,0.557263971,-0.19706369,-0.000284057,0.000560827,-0.029832486,-4568.64,5134.09961,-1016.42639,-5.70204258,-4.94048357,0.7025606
2022-08-03 5:06,0.32475105,-0.738305359,0.558803168,-0.192823676,-0.000461408,0.000470895,-0.02960645,-4737.224,4983.1626,-994.8074,-5.53588772,-5.12113476,0.738575339
2022-08-03 5:06,0.330320304,-0.735785015,0.560297545,-0.188614868,-0.000294524,-0.000437716,-0.028519943,-4900.734,4826.887,-972.1196,-5.363792,-5.296312,0.7737997
2022-08-03 5:07,0.335851004,-0.733231755,0.561762603,-0.184385665,-0.000294253,0.000434426,-0.029373135,-5058.994,4665.441,-948.3875,-5.18593836,-5.465827,0.808195531
2022-08-03 5:07,0.34134762,-0.730643721,0.563188833,-0.18016629,-0.000462607,0.000511265,-0.029486671,-5211.83447,4498.996,-923.6366,-5.00251627,-5.629498,0.8417255
2022-08-03 5:08,0.34683033,-0.72801133,0.564583406,-0.175936926,-0.000316017,0.000353775,-0.029399548,-5359.09131,4327.73145,-897.8931,-4.8137207,-5.787149,0.8743538
2022-08-03 5:08,0.352304787,-0.725332548,0.56594865,-0.171686217,-0.000344278,0.000343443,-0.029507468,-5500.606,4151.82959,-871.1847,-4.619754,-5.93861,0.9060451
2022-08-03 5:09,0.35778505,-0.72259862,0.567289003,-0.167404537,-0.000530033,0.000329292,-0.029814255,-5636.22656,3971.47852,-843.540161,-4.42082262,-6.0837183,0.936764956
2022-08-03 5:09,0.363283315,-0.719802491,0.568606317,-0.163084216,-0.00026942,0.000289544,-0.030050455,-5765.80762,3786.87134,-814.988953,-4.217138,-6.2223177,0.9664804
2022-08-03 5:10,0.368812693,-0.716938923,0.569899917,-0.158713144,-0.000373599,0.00024022,-0.030384699,-5889.20947,3598.206,-785.5617,-4.00891829,-6.354258,0.995159268
2022-08-03 5:10,0.374387222,-0.713995098,0.571177016,-0.154279046,-0.000301508,0.000302856,-0.030759746,-6006.3,3405.684,-755.2901,-3.796386,-6.479398,1.02277052
2022-08-03 5:11,0.380017392,-0.710966275,0.572435608,-0.149770531,-0.000417607,0.000274308,-0.03132238,-6116.95166,3209.51147,-724.206543,-3.57976747,-6.597602,1.04928434
2022-08-03 5:11,0.385719538,-0.707839478,0.573677964,-0.145180248,-0.000306496,0.000146483,-0.031911146,-6221.04736,3009.89868,-692.34436,-3.35929465,-6.70874166,1.074672
2022-08-03 5:12,0.391500119,-0.7046077,0.574904189,-0.140502025,-0.000265267,-0.000567288,-0.03151251,-6318.473,2807.05884,-659.737854,-3.135203,-6.81269836,1.098906
2022-08-03 5:12,0.397385165,-0.70125138,0.576123868,-0.135693852,-0.000133405,-0.000558213,-0.032289788,-6409.12549,2601.20947,-626.421936,-2.907732,-6.909359,1.12196028
2022-08-03 5:13,0.403378369,-0.697759298,0.57733626,-0.130769628,0.000919157,-9.68E-05,-0.032434855,-6492.906,2392.5708,-592.432434,-2.677125,-6.998619,1.1438098
2022-08-03 5:13,0.409532611,-0.69412079,0.578522112,-0.125664379,-0.000248764,0.000131155,-0.03505106,-6569.724,2181.367,-557.805847,-2.44362879,-7.08038139,1.16443121
2022-08-03 5:14,0.415823986,-0.690313029,0.579704831,-0.120418612,-0.000143935,7.19E-05,-0.03625251,-6639.497,1967.82361,-522.5792,-2.20749235,-7.1545577,1.18380177
2022-08-03 5:14,0.422286613,-0.686322498,0.580870888,-0.114997633,-0.000221143,-0.000395585,-0.036485195,-6702.14941,1752.1698,-486.7905,-1.968968,-7.22106743,1.20190048
2022-08-03 5:15,0.428953048,-0.682106544,0.582043604,-0.109339779,0.000311316,0.00056455,-0.03885228,-6757.614,1534.63684,-450.47818,-1.72831154,-7.27983665,1.21870744
2022-08-03 5:15,0.435844878,-0.677660057,0.583192318,-0.103454381,0.000412266,0.000592017,-0.04049892,-6805.82959,1315.45752,-413.681183,-1.48578048,-7.33080149,1.23420453
2022-08-03 5:16,0.442991276,-0.672942915,0.584327827,-0.097301346,0.000339376,0.000619239,-0.042294897,-6846.744,1094.86682,-376.439117,-1.24163485,-7.37390566,1.2483747
2022-08-03 5:16,0.450421742,-0.667926974,0.585438362,-0.090861073,0.00050078,-0.000475196,-0.042421576,-6880.314,873.1018,-338.792084,-0.996136844,-7.409102,1.26120257
2022-08-03 5:17,0.458188877,-0.662551655,0.586535908,-0.084046924,0.000336517,-0.000434046,-0.044842944,-6906.50146,650.3999,-300.7804,-0.749549568,-7.4363513,1.2726742
2022-08-03 5:17,0.466338856,-0.656757073,0.587621371,-0.07680717,0.000589017,0.000555955,-0.049483262,-6925.27832,427.0003,-262.445129,-0.502137661,-7.45562267,1.28277707
2022-08-03 5:18,0.474912321,-0.650508529,0.588657343,-0.069133733,2.43E-05,5.49E-06,-0.052633494,-6936.62354,203.142227,-223.8272,-0.254166335,-7.466894,1.29150045
2022-08-03 5:18,0.483968658,-0.643705373,0.589666269,-0.060921436,0.000624406,0.000591462,-0.056210786,-6940.525,-20.9336853,-184.968567,-0.005902266,-7.470153,1.29883385
2022-08-03 5:19,0.486191599,-0.642012601,0.589888705,-0.058897065,-0.00074367,-0.000102199,0.026873026,-6936.97754,-244.98703,-145.910889,0.2423879,-7.46539354,1.30476975
2022-08-03 5:19,0.481467441,-0.645607135,0.589393901,-0.063208852,-0.000732088,-0.000167897,0.026495928,-6925.984,-468.777374,-106.6962,0.490437537,-7.45262,1.30930173
2022-08-03 5:20,0.476943706,-0.648988052,0.588904763,-0.067308164,0.00029289,0.000398094,0.025945384,-6907.556,-692.064453,-67.36664,0.737980247,-7.43184566,1.31242454
